ID,STATE,PROPERTYNAME,CITY,INCOME_REPORTED_PCT,MEDIAN_INC,UNITS_INC_0_5K_PCT,UNITS_INC_5K_10K_PCT,UNITS_INC_10K_15K_PCT,UNITS_INC_15_20K_PCT,UNITS_INC_GRT_20K_PCT
24317,MI,SYCAMORE HOUSE,DURAND,100,18520,0,-4,-4,-4,44.4
6902,MI,TAMARACK CREEK APARTMENTS,HOWARD CITY,94.7,13827.5,0,-4,-4,-4,-4
6744,MI,TC COMMONS II,TRAVERSE CITY,100,23045,-4,-4,-4,-4,57.1
22689,MI,TEAL RUN APARTMENTS,BATTLE CREEK,90,20196,-4,-4,14.4,23.3,51.1
6741,MI,TEITEL APARTMENTS,OAK PARK,99.3,9420,15,43.5,21.1,12.2,8.2
13329,MI,"THE GATEWAY, FREMONT SENIOR",FREMONT,100,17469,0,-4,-4,-4,37.5
40824,MI,THOMPSON TOWER APARTMENTS,INKSTER,97.9,9543,-4,67,16.7,9.4,-4
514,MI,THORNTREE APARTMENTS,GLADSTONE,97.1,21760,-4,-4,-4,-4,63.6
13904,MI,THREE FORKS APARTMENTS,BEAVERTON,87.5,15042,0,-4,-4,-4,-4
508,MI,THURGOOD MARSHALL HOMES,BENTON HARBOR,94.4,20881,-4,16.2,-4,-4,54.4
28690,MI,TIBBITTS GREENE,COLDWATER,100,18660,0,0,-4,-4,-4
7428,MI,TIVOLI MANOR,WARREN,94.9,13164,0,25.3,41.3,-4,-4
38097,MI,TOWN CENTER   (IN HIGHLAND PARK),HIGHLAND PARK,95.2,9660,35,18.3,-4,-4,26.7
37088,MI,TOWN PLACE APARTMENTS,HESPERIA,93.8,10082,-4,-4,-4,-4,-4
30480,MI,TOWN SQUARE APARTMENTS,ISHPEMING,100,12285,-4,-4,41.9,-4,-4
17742,MI,TOWNLINE APARTMENTS,PELLSTON,100,28628,-4,0,-4,-4,82.8
36367,MI,TRADITIONS OF HOLLAND,HOLLAND,95,26380,-4,-4,10.6,-4,72.6
31311,MI,TRAVERSE WOODS APARTMENTS,PETOSKEY,97.7,12408,9.6,28,24.8,12.8,24.8
36364,MI,TREYMORE APARTMENTS,DETROIT,96.4,24394,-4,0,-4,-4,74.1
19903,MI,TRI CITY VILLAGE,WATERVLIET,98.2,15325,-4,20,25.5,38.2,-4
2055,MI,TRINITY BUENA VISTA HOMES,BUENA VISTA TWP,100,25529,0,-4,-4,-4,-4
30527,MI,TRINITY VILLAGE I,MUSKEGON,66.7,12669.5,-4,-4,-4,-4,-4
15012,MI,TRINITY VILLAGE II,MUSKEGON,91.7,17957.5,-4,-4,-4,-4,-4
25418,MI,TRUMBULL CROSSING,DETROIT,99.2,9592,32.2,22.3,14,8.3,23.1
11229,MI,UNION SQUARE APARTMENTS,ITHACA,91.7,13077.5,-4,-4,-4,-4,-4
3833,MI,UNITY PARK RENTALS,PONTIAC,96.9,24026,-4,-4,-4,-4,51.6
12959,MI,UNITY PARK RENTALS II,PONTIAC,100,13048,-4,-4,0,-4,-4
30468,MI,UNITY PARK RENTALS III,PONTIAC,100,27739.5,-4,-4,0,-4,-4
19794,MI,UNITY PARK RENTALS IV,PONTIAC,100,17726,-4,-4,-4,-4,-4
25524,MI,UNIVERSITY CLUB APARTMENTS,DETROIT,84.8,16289,-4,-4,-4,-4,39.3
30478,MI,UNIVERSITY GROVE HOMES,DETROIT,90.9,19702,-4,-4,-4,-4,47.5
26979,MI,UNIVERSITY MEADOWS,DETROIT,95.1,14307,0,33.3,-4,-4,-4
12962,MI,UPTOWN VILLAGE,GRAND RAPIDS,95.5,25904,-4,-4,-4,-4,61.9
18904,MI,VALLEY GREEN,VASSAR,96.9,12675,-4,-4,38.7,-4,-4
3840,MI,VALLEY VIEW APARTMENTS,IONIA,95.7,18208.5,-4,-4,-4,-4,-4
31363,MI,VALLEY VIEW II,IONIA,100,11925,-4,-4,-4,-4,-4
37039,MI,VALLEY VIEW III,IONIA,100,22221,0,-4,-4,-4,59
8637,MI,VAN DYKE CENTER,DETROIT,98.5,10164.5,6.1,42.3,25.5,9.2,16.8
24318,MI,VANGUARD ELDERLY,DETROIT,89.6,16788,0,-4,-4,30.2,30.2
25106,MI,VERMONTVILLE MEADOWS,VERMONTVILLE,81.3,11340,-4,-4,-4,0,-4
8735,MI,VERNE BARRY PLACE,GRAND RAPIDS,98.3,9420,37.7,37.7,15.8,-4,-4
37089,MI,VERNOR/SCOTTEN PARTNERS I,DETROIT,91.7,27518,0,-4,0,0,-4
25110,MI,VICTORIA SQUARE,LINCOLN PARK,98.3,16758,0,-4,-4,31.6,35.1
14955,MI,VICTORIAN TRAILS,WEST BRANCH,93.5,16819,-4,-4,-4,-4,-4
13337,MI,"VILLA AT REDFORD, THE",REDFORD TWP,90,113664,-4,0,-4,0,93.3
7530,MI,VILLAGE APARTMENTS  (BELLAIRE),BELLAIRE,88.4,15605.5,-4,-4,-4,31.6,-4
33900,MI,VILLAGE APARTMENTS  (CHELSEA),CHELSEA,100,15942,-4,-4,-4,-4,40.6
22687,MI,"VILLAGE AT APPLEDORN II, THE",HOLLAND,100,25018,0,0,0,-4,-4
25462,MI,"VILLAGE AT APPLEDORN, THE",HOLLAND,98,25983,0,0,0,-4,-4
7003,MI,"VILLAGE AT BAY RIDGE - EAST, THE",TRAVERSE CITY,98.5,26958.5,0,-4,-4,-4,84.4
19897,MI,"VILLAGE AT BAY RIDGE - WEST, THE",GARFIELD TWP,96.2,23285.5,0,0,-4,-4,78
6418,MI,"VILLAGE AT IRVING PARK, THE",BATTLE CREEK,69.4,17472,-4,-4,-4,-4,-4
19893,MI,"VILLAGE AT JACKSON HILL, THE",MUSKEGON,100,16221,0,-4,32.5,37.5,-4
29586,MI,VILLAGE AT JOSEPH'S RUN,MIDLAND,99.2,26604,-4,-4,8.7,11.8,69.3
17751,MI,VILLAGE AT LEXINGTON THE (ADRIAN),ADRIAN,-4,31230,0,-4,-4,0,-4
36321,MI,VILLAGE AT PARK TERRACE,MUSKEGON,94.1,22964.5,0,0,0,22.9,77.1
25053,MI,"VILLAGE AT RIVERS EDGE, THE",KALKASKA,95.7,25534,0,-4,-4,-4,77.8
24313,MI,VILLAGE COMMONS APARTMENTS,LAWTON,91.4,15896,-4,-4,22.6,20.8,34
35843,MI,VILLAGE CROSSINGS,EDMORE,94.9,15990,-4,-4,-4,-4,37.8
22691,MI,VILLAGE EAST,GLADWIN,91.5,10487,-4,30.2,30.2,-4,-4
13015,MI,VILLAGE GLEN APARTMENTS (MARION),MARION,96.9,14820,-4,-4,-4,-4,-4
36992,MI,VILLAGE GLEN APARTMENTS (TRAVERSE CITY),GARFIELD TWP,95,32947.5,0,-4,-4,-4,85.1
17752,MI,VILLAGE GREEN,BIG RAPIDS,87,11126.5,-4,32.5,-4,-4,-4
6423,MI,VILLAGE MANOR,STURGIS,93.4,11796,16.8,28.3,19.5,15,20.4
35837,MI,VILLAGE MANOR APARTMENTS,PORT HURON,99.2,8960,36.9,22.1,16.4,11.5,13.1
2047,MI,VILLAGE OF GIBRALTAR MANOR,GENOA TWP,93.5,23464,0,-4,-4,-4,58.6
29472,MI,"VILLAGE OF HILLSIDE, THE",HARBOR SPRINGS,96,16632.5,0,-4,-4,-4,-4
6417,MI,"VILLAGE OF LAKE HURON WOODS, THE",FORT GRATIOT TWP,89.5,22840,-4,-4,-4,-4,72.5
7481,MI,VILLAGE OF OAKLAND WOODS,PONTIAC,99.3,13603,0,25.2,31.3,17.7,25.9
36313,MI,VILLAGE OF OAKLAND WOODS II,PONTIAC,100,27899.5,0,-4,0,-4,90.6
29576,MI,"VILLAGE OF REDFORD, REDFORD COTTAGES",REDFORD TWP,93.6,82319,-4,0,0,0,-4
25050,MI,VILLAGE OF ROYAL OAK AT STARR CORNERS,ROYAL OAK,99.1,25058,-4,-4,-4,13.1,80.4
18855,MI,VILLAGE OF SPRING MEADOWS SENIOR LIVING,BLACKMAN TWP,100,21865,-4,-4,16.3,17.5,63.8
36319,MI,VILLAGE OF WOODBRIDGE MANOR SENIOR LIVIN,DETROIT,94.9,10992,-4,38.7,31.2,15.1,-4
7004,MI,VILLAGE PARK APARTMENTS (DEARBORN),DEARBORN,98.7,11176,-4,37.8,22.3,-4,17.6
12958,MI,VILLAGE PINES OF MONROE,MONROE,96.3,23041.5,-4,-4,11.5,16.5,62.1
38142,MI,VILLAGE PLACE OF VASSAR,VASSAR,100,13236,-4,-4,-4,-4,-4
22431,MI,VILLAGE SQUARE APARTMENTS,BAD AXE,96.7,9663,-4,44.8,-4,-4,-4
17699,MI,VILLAGE VIEW,GARFIELD TWP,100,20310.5,0,-4,-4,-4,-4
