ID,STATE,PROPERTYNAME,CITY,INCOME_REPORTED_PCT,UNITS_INC_ILMT_IRES_RPTD_PCT,UNITS_I_IL_IR_0_PCT,UNITS_I_IL_IR_0_30_PCT,UNITS_I_IL_IR_30_40_PCT,UNITS_I_IL_IR_40_50_PCT,UNITS_I_IL_IR_50_60_PCT,UNITS_I_IL_IR_GT60_PCT
30948,NC,CARRIAGE HILLS,LUMBERTON,97.2,97.2,0,41.4,20,-4,-4,-4
29164,NC,CARVER CREEK APARTMENTS,DURHAM,25,-4,0,-4,-4,0,0,0
5962,NC,CASHIE APARTMENTS,WINDSOR,96.9,96.9,0,-4,-4,0,0,0
30992,NC,CASPN HOMES SUPPORTIVE HOUSING FOR THE ELDERLY,ASHEBORO,89.1,80.4,0,51.4,-4,-4,0,0
15423,NC,CASTLE GLEN,NEWPORT,100,90.6,0,-4,-4,-4,-4,-4
13858,NC,CASWYCK TRAIL,GREENSBORO,95.8,72.2,0,26.9,25,-4,-4,-4
33510,NC,CATAWBA SENIOR HOUSING,CHARLOTTE,98.4,72.6,0,26.7,31.1,-4,-4,-4
33555,NC,CATELAND PLACE,SILER CITY,96.8,96.8,0,55.7,19.7,-4,-4,-4
15425,NC,CEDAR BLUFFS,HENDERSONVILLE,98.4,98.4,0,33.3,-4,20.6,-4,20.6
7897,NC,CEDAR HILL,MEBANE,100,100,0,-4,-4,0,0,0
30159,NC,CEDAR HILL APTS,BREVARD,97,97,0,59.4,-4,-4,-4,-4
13850,NC,CEDAR RIDGE APARTMENTS,HAW RIVER,97.5,97.5,0,66.7,-4,-4,-4,0
24653,NC,CEDAR SPRING -  A SENIOR LIVING COMMUNITY,WENDELL,100,-4,0,-4,-4,-4,-4,0
3485,NC,CEDAR TERRACE,HENDERSONVILLE,96.3,95,0,34.2,22.4,26.3,-4,-4
18325,NC,CEDAR TRACE LANDING,LAURINBURG,93.8,93.8,0,37.8,26.7,28.9,-4,-4
23915,NC,CEDAR VILLAGE APTS,BELHAVEN,96.4,96.4,0,66.7,-4,-4,0,0
29012,NC,CEDARHURST,HENDERSON,96.2,96.2,0,78,-4,-4,0,-4
23865,NC,CEDARMOOR,RALEIGH,96.3,95.1,0,79.2,-4,-4,-4,-4
8330,NC,CEDARWOOD,POLLOCKSVILLE,100,95.8,0,-4,-4,-4,-4,-4
9908,NC,CEDARWOOD APTS,PEMBROKE,97.2,97.2,0,68.6,-4,-4,-4,0
35484,NC,CENTRA SQUARE,CHARLOTTE,100,100,0,30.8,23.1,28.8,-4,-4
37791,NC,CENTRAL SCHOOL APARTMENTS,BESSEMER CITY,92.2,81.3,0,63.5,-4,-4,-4,-4
26479,NC,CENTRAL SCHOOL APARTMENTS,LAURINBURG,92.2,81.3,0,63.5,-4,-4,-4,-4
13088,NC,CENTRE COURT,GREENVILLE,84.6,84.6,0,33.3,-4,28.8,16.7,-4
24013,NC,CHADWICK APARTMENTS,EDEN,97.9,97.9,0,74.5,-4,-4,-4,-4
17343,NC,CHADWICK PLACE APTS,CHADBOURN,100,100,0,66.7,-4,-4,-4,0
22094,NC,CHAMBERS POINT AT AYRSLEY,CHARLOTTE,100,74.4,0,-4,40.6,29.7,-4,-4
9857,NC,CHANDLER RIDGE APTS,RALEIGH,95.4,82.1,0,59.8,16.2,10.1,-4,-4
3381,NC,CHAPEL RIDGE,ROANOKE RAPIDS,94,94,0,34,25.5,-4,-4,-4
23960,NC,CHAPEL RIDGE MANOR,ROANOKE RAPIDS,94.4,83.3,0,-4,36.7,-4,-4,-4
26050,NC,CHARLOTTE SPRING,CHARLOTTE,96.1,93.4,0,50.7,26.8,18.3,-4,-4
18326,NC,CHATHAM WOODS,ELKIN,86.7,86.7,0,-4,-4,-4,-4,0
26042,NC,CHERRY GARDENS,CHARLOTTE,97.6,73.8,0,51.6,-4,-4,-4,0
30001,NC,CHERRY KNOLL APARTMENTS,RUTHERFORDTON,89.3,89.3,0,-4,-4,-4,-4,-4
17607,NC,CHERRYWOOD APARTMENTS,CHERRYVILLE,100,100,0,70.8,-4,-4,-4,-4
19431,NC,CHESHIRE CHASE APTS,CHARLOTTE,98.2,98.2,0,-4,-4,37,27.8,-4
18332,NC,CHESTNUT HILLS,RALEIGH,96,96,0,47.9,-4,-4,-4,-4
