ID,STATE,PROPERTYNAME,CITY,UNITS_FRA_SRC_PCT,UNITS_FRA_SRC_PBRA_PCT,UNITS_FRA_SRC_S8_PCT,UNITS_FRA_SRC_PH_PCT,UNITS_FRA_SRC_HOME_PCT,UNITS_FRA_SRC_HCV_PCT,UNITS_FRA_SRC_PBV_PCT,UNITS_FRA_SRC_S521_PCT,UNITS_FRA_SRC_OTHER_PCT
16980,AL,CUMBERLAND HEIGHTS,SECTION,100,0,0,0,0,0,0,-4,-4
9573,AL,CYPRESS LANDING,FLORENCE,43.1,0,0,0,0,0,0,0,100
18759,AL,CYPRESS TRACE APARTMENTS,BAY MINETTE,7.5,0,0,0,0,0,0,0,-4
18756,AL,CYPRESS VILLAGE APARTMENTS,TUSKEGEE,100,0,0,0,0,0,0,100,0
38670,AL,DAKOTA APARTMENTS,TUSCALOOSA,35,0,0,0,0,0,0,0,100
1926,AL,DAUPHIN GATE,MOBILE,92.8,100,0,0,0,0,0,0,0
31986,AL,DECATUR PLACE I FKA SUMMER PLACE FKA BOARDWALK VILLAS,DECATUR,15.3,0,0,0,0,0,0,0,100
11046,AL,DECATUR PLACE II FKA SUMMER PLACE FKA BOARDWALK VILLAS II,DECATUR,7.1,0,0,0,0,0,0,0,-4
13810,AL,DEER PARK APARTMENTS,BIRMINGHAM,96.6,100,0,0,0,0,0,0,0
6513,AL,DEER RIDGE,FORT PAYNE,32.5,0,0,0,0,0,0,0,100
23511,AL,DEER RIDGE II,FT PAYNE,46.2,0,0,0,0,0,0,0,100
13816,AL,DEERCREEK VILLAGE,CAMDEN,100,0,0,0,0,0,0,-4,-4
16992,AL,DEERFIELD APARTMENTS FORMERLY WESTGATE APARTMENTS,DALEVILLE,19,0,0,0,0,0,0,0,-4
15683,AL,DEERPOINT APARTMENTS,ROGERSVILLE,4.2,0,0,0,0,0,0,0,-4
9423,AL,DEERPOINT II APARTMENTS,ROGERSVILLE,12.5,0,0,0,0,0,0,0,-4
11003,AL,DEKALB VILLAS,FORT PAYNE,66.7,0,0,0,0,0,0,100,0
27461,AL,DOUBLE CREEK APARTMENTS,FLORENCE,29.8,0,0,0,0,0,0,0,100
15734,AL,DOUBLE SPRINGS VILLAGE,DOUBLE SPRINGS,100,0,0,0,0,0,0,100,0
30,AL,DUNWOODY PLACE,HUNTSVILLE,45.5,0,0,0,0,0,0,0,100
22193,AL,EAGLE POINTE APARTMENTS,MADISON,33.3,0,0,0,0,0,0,0,100
1919,AL,EAGLE RIDGE APARTMENTS,DOTHAN,16.1,0,0,0,0,-4,0,0,0
28610,AL,EAGLE RIDGE PLACE,DOTHAN,17.5,0,0,0,0,-4,0,0,0
38675,AL,EAGLE'S LANDING DEVELOPMENT,MADISON,17.5,0,0,0,0,0,0,0,100
