ID,STATE,PROPERTYNAME,CITY,HHSIZEATCERT_EQUAL_PCT,HOH_DOB_VALID_PCT,MBRS_DOB_VALID_PCT,UNITS_WATLEAST1_UNDR18_PCT,UNITS_WATLEAST1_ABOVE62_PCT,UNITS_WHOH_ABOVE62_PCT
28793,ID,ALSACE VILLAGE,SODA SPRINGS,-4,100,100,41.2,-4,-4
6464,ID,AMBER COVE,WEISER,100,100,100,0,71.9,71.9
11495,ID,AMY LYN,KELLOGG,-4,100,100,64.4,-4,-4
30519,ID,APPLE POINTE,BOISE,100,100,100,43.8,-4,-4
40811,ID,ARBOR CROSSING,BOISE,95.7,100,99.6,66.7,18.3,17.2
11279,ID,ASPEN PARK,IDAHO FALLS,93.8,96.6,98.8,67.6,12.4,9.7
23057,ID,ASPENWOOD,MONTPELIER,100,100,100,0,71.2,71.2
15858,ID,AUTUMN COURT,EMMETT,-4,96.7,96.7,0,50,50
3924,ID,AVALON PARK,CHUBBUCK,-4,98.1,97.9,66,-4,-4
31460,ID,BALMORAL,HAILEY,100,100,100,61.5,-4,-4
3879,ID,BALMORAL II,HAILEY,100,100,100,74.6,-4,-4
8728,ID,BALTRAY,JEROME,100,100,100,38.9,30.6,-4
30518,ID,BANDON RIVER,IDAHO FALLS,100,100,100,0,100,100
25097,ID,BERKSHIRE,NAMPA,-4,95.9,97.8,30.6,-4,-4
40766,ID,BITTERROOT PARK,SALMON,100,100,100,0,77.1,77.1
11320,ID,BRANDON BAY,PAYETTE,100,100,100,64.3,-4,-4
8729,ID,BRENCHLEY,REXBURG,100,100,100,0,51.6,51.6
13271,ID,BRENT MANOR,PAYETTE,-4,100,100,73.5,-4,-4
25141,ID,BRENTWOOD MANOR,BOISE,-4,100,99.6,59.7,20.8,16.9
34843,ID,BURRELL STREET STATION,LEWISTON,100,100,100,0,30.8,30.8
11541,ID,BUTTES,IDAHO FALLS,-4,100,100,48.5,-4,-4
6461,ID,BUTTES AT IDAHO FALLS (THE),IDAHO FALLS,-4,100,100,57.5,13.8,-4
18943,ID,CAMAS VILLAGE,MOSCOW,100,100,100,32.7,-4,-4
18941,ID,CAMAS VILLAGE APARTMENTS,MOSCOW,100,100,100,-4,-4,-4
28833,ID,CANYONSIDE,WALLACE,-4,100,100,66.7,-4,-4
13267,ID,CARDONA SENIOR,CHUBBUCK,100,100,100,0,95.8,95.8
30563,ID,CARDONA SENIOR APARTMENTS,CHUBBUCK,100,100,100,0,95.2,95.2
11540,ID,CARLOW SENIOR,REXBURG,100,100,100,-4,58.5,58.5
30562,ID,CARNOUSTIE,SHELLEY,100,100,100,50,-4,-4
29723,ID,CARNOUSTIE II,SHELLEY,100,100,100,61.3,-4,-4
7518,ID,CARRIAGE LANE,TWIN FALLS,100,100,100,81.8,-4,-4
3881,ID,CARRIAGE LANE II,TWIN FALLS,100,100,100,-4,33.3,33.3
31452,ID,CASSIA COURT,BOISE,-4,100,100,92.3,0,0
15861,ID,CEDAR VIEW,POCATELLO,100,100,100,-4,-4,-4
29719,ID,CHAPARRAL MEADOWS,BLACKFOOT,100,100,100,57.1,-4,-4
31456,ID,CHAPARRAL MEADOWS APARTMENTS,BLACKFOOT,100,100,100,-4,-4,-4
33988,ID,CHELSEA COURT,IDAHO FALLS,80.3,97,97.8,57.6,18.2,16.7
12998,ID,CHERRY RIDGE,COEUR D ALENE,96.2,99.4,99.6,27.8,24.7,24.7
17734,ID,CHERRY RIDGE,COEUR D' ALENE,96.2,99.4,99.6,27.8,24.7,24.7
11499,ID,CHERRYWOOD,TWIN FALLS,-4,95.1,97.8,65.9,-4,-4
39045,ID,CHESTNUT,SANDPOINT,100,100,97.4,61.3,-4,-4
36401,ID,CIMMARON STATION,ARCO,100,100,100,-4,-4,-4
34634,ID,CIVIC PLAZA,BOISE,-4,100,100,19.9,23.1,22
1467,ID,CLOVER CREEK,JEROME,100,100,100,-4,-4,-4
28834,ID,CLOVER CREEK I,JEROME,100,100,100,-4,-4,-4
1468,ID,CLOVER CREEK II,BLISS,100,100,100,-4,47.8,47.8
3307,ID,COEUR DALENE SENIOR,COEUR DALENE,100,100,100,0,96.7,96.7
322,ID,COEUR DALENE SENIOR,COEUR D ALENE,100,100,100,0,96.7,96.7
18987,ID,COLLEGE PARK,CALDWELL,100,100,100,77.8,-4,-4
40768,ID,COLMAR VILLAGE,WEISER,100,100,100,65,-4,-4
1470,ID,COLORADO GARDENS,NAMPA,100,100,100,-4,56.8,56.8
40762,ID,COTTONWOOD MEADOWS,EAGLE,100,100,100,0,100,100
11322,ID,COURTYARDS AT RIDGECREST (THE),NAMPA,91.7,100,100,66.7,-4,-4
22528,ID,COURTYARDS AT RIDGECREST II (THE),NAMPA,-4,100,100,66.7,22.9,-4
34844,ID,CREEKBRIDGE COURT,NAMPA,100,100,100,54.9,-4,-4
2138,ID,CREEKSIDE,MOSCOW,-4,98.1,98.1,39.6,-4,-4
15859,ID,CREEKSIDE SENIOR,MOSCOW,100,100,100,0,83,83
13274,ID,DAVIS PARK,BOISE,92.1,100,99.2,63.2,-4,-4
17735,ID,DEVON SENIOR,TWIN FALLS,-4,95.8,95.9,0,89.6,89.6
6884,ID,DEVON SENIOR APTS.,TWIN FALLS,100,100,100,0,100,100
29678,ID,DIAMOND COURT,CHUBBUCK,100,100,100,65.8,17.8,17.8
35873,ID,DIAMOND COURT APARTMENTS,CHUBBUCK,100,100,100,-4,-4,-4
17736,ID,DONEGAL,REXBURG,-4,100,100,34.4,0,0
40810,ID,EDENMOOR,MOSCOW,-4,100,100,43.2,23.9,22.7
2137,ID,ELK CREEK,IDAHO FALLS,100,100,100,0,64,64
15856,ID,EMERALD COURT,EMMETT,100,100,100,54.5,-4,-4
