ID,STATE,PROPERTYNAME,CITY,HHSIZEATCERT_NOTREPORTED_PCT,HHSIZEATCERT_LT_PCT,HHSIZEATCERT_EQUAL_PCT,HHSIZEATCERT_GT_PCT
22192,AL,AMBERWOOD VILLAS FORMERLY AMBERWOOD,SULLIGENT,0,-4,-4,0
1916,AL,AMESBURY APARTMENTS,PELL CITY,0,-4,-4,0
33720,AL,ANGELA MEADOWS,ALBERTVILLE,0,0,-4,-4
18702,AL,ANNANDALE PARK APARTMENTS,ROBERTSDALE,0,-4,85.6,-4
18703,AL,ANNE PLACE,MOBILE,0,-4,96.7,-4
10996,AL,ANNIE LEE GARDENS FKA SUNRISE MANOR,ARAB,0,0,-4,-4
15635,AL,APARTMENTS AT RUSSEL ERSKINE FKA RUSSEL ERSKINE BUILDING,HUNTSVILLE,0,0,100,0
10265,AL,APPLEGATE APARTMENTS,FLORENCE,0,0,100,0
1294,AL,ARBOR GATE APARTMENTS,BRIDGEPORT,0,0,-4,-4
9415,AL,ARBOR PARK,TALLADEGA,0,0,100,0
6292,AL,ARBORS AT VICTORIA PLACE I F/K/A VICTORIA PLACE,PRATTVILLE,0,0,-4,-4
20476,AL,ARBORS AT VICTORIA PLACE II F/K/A VICTORIA PLACE APARTMENTS II,PRATTVILLE,0,-4,87.5,-4
31,AL,ARBORS BY THE BAY FKA NORTH FORK APARTMENTS,DAPHNE,0,0,100,0
10420,AL,ARBOURS AT CANE CREEK F/K/A CANE CREEK APARTMENTS,ANNISTON,0,-4,92.7,-4
27512,AL,ARBOURS AT DEMOPOLIS,DEMOPOLS,0,-4,93.8,-4
1299,AL,ARBOURS AT DEMOPOLIS,DEMOPOLIS,0,-4,93.8,-4
31991,AL,ARBOURS AT PIERCE CREEK,MOBILE,0,0,100,0
11001,AL,ARDMORE SQUARE APARTMENTS,ARDMORE,0,0,100,0
12101,AL,ARLINGTON PARK,MADISON,0,-4,93.9,-4
35080,AL,ARTESIAN SPRINGS APARTMENTS,BRIGHTON,0,0,100,0
5512,AL,ASHBROOK,ALBERTVILLE,0,0,-4,-4
33722,AL,ASHLEY MANOR II,MOODY,0,0,100,0
6289,AL,ASHLEY VILLAS FORMERLY MARTIN LUTHER KING VILLAS,MONTGOMERY,0,-4,72.5,-4
28653,AL,ASHTON WAY APARTMENTS,OPELIKA,0,0,100,0
6291,AL,ATHENS MANOR,ATHENS,0,-4,-4,0
4521,AL,ATHENS SQUARE,ATHENS,0,0,-4,-4
1876,AL,AUSTIN SPRINGS APARTMENTS FORMERLY SANDY SPRINGS,SCOTTSBORO,0,-4,94.6,-4
10994,AL,AUTUMN CHASE APARTMENTS,MOBILE,0,0,100,0
23455,AL,AUTUMN RIDGE APARTMENTS,TROY,0,-4,-4,0
33092,AL,AUTUMNWOOD APARTMENTS,HANCEVILLE,0,0,100,0
35076,AL,AVALON PLAZA F/K/A FAMILY PLACE APARTMENTS,MOBILE,0,-4,87.5,-4
4567,AL,AVON SQUARE,OZARK,0,-4,-4,0
32811,AL,AVONDALE GARDENS,BIRMINGHAM,0,-4,93.8,-4
16936,AL,AZALEA POINTE APARTMENTS FKA VILLAGE GREEN APTS,MOBILE,0,-4,87,-4
21673,AL,BANKHEAD COURT APARTMENTS,WINFIELD,0,0,-4,-4
6518,AL,BANKHEAD TOWERS,BIRMINGHAM,0,-4,95.2,-4
21676,AL,BARRINGTON PARC APARTMENTS,MOODY,0,-4,85.4,-4
6285,AL,BAYOU BEND,BAYOU LA BATRE,0,0,100,0
6340,AL,BAYOU VILLAGE,BAYOU LA BATRE,0,0,-4,-4
17516,AL,BAYTOWN SENIOR VILLAGE,SEMMES,0,0,100,0
29439,AL,BAYVIEW ESTATES,ORANGE BEACH,0,0,-4,-4
33712,AL,BEAVER COVE,SCOTTSBORO,0,0,-4,-4
33086,AL,BEDELL VILLAGE,AUBURN,0,-4,87.5,-4
20528,AL,BEDFORD PINES,BUTLER,0,-4,88.1,-4
15632,AL,BELLE ISLE APARTMENTS,ROBERTSDALE,0,0,100,0
35128,AL,BELLE VUE SQUARE,MILLBROOK,0,0,-4,-4
22194,AL,BELLEMEADE APARTMENTS,MARION,0,0,100,0
