ID,STATE,PROPERTYNAME,CITY,HH_RACE_WHITE_PCT,HH_RACE_BLACK_PCT,HH_RACE_AMINDALNAT_PCT,HH_RACE_ASIAN_PCT,HH_RACE_HAWAIIANPI_PCT,HH_RACE_OTHER_PCT,HH_RACE_HISPANIC_PCT,HH_RACE_NR_PCT
137,CA,THE GARDENS AT SIERRA,FONTANA,14.3,17.6,0,0,0,-4,56,-4
138,CA,VISTA DEL MONTE APARTMENTS,SAN FRANCISCO,-4,48.5,-4,0,0,-4,33.3,-4
139,CA,PLAZA SENIOR APARTMENTS AKA DESERT VILLAS,EL CENTRO,8.3,-4,0,0,0,0,88.2,-4
140,CA,VILLA LA JOLLA,PLACENTIA,-4,-4,0,0,0,0,38.9,31.5
141,CA,21 SOLEDAD STREET HOUSING COMMUNITY,SALINAS,0,0,0,0,0,0,-4,-4
142,CA,WARD VILLAS,LOS ANGELES,-4,64.9,-4,0,0,-4,-4,20.8
143,CA,PALM SPRINGS VIEW APARTMENTS,PALM SPRINGS,13.4,10.1,0,0,0,0,21.8,54.6
144,CA,PLAZA DEL SOL,SAN FRANSISCO,-4,-4,0,0,0,0,70.2,21.1
145,CA,VILLA PACIFICA SENIOR COMMUNITY,RANCHO CUCAMONCA,42.4,-4,0,0,0,-4,25.9,18.4
146,CA,DEL NIDO APARTMENTS,SANTA ROSA,68,-4,-4,0,0,-4,15.8,8.4
147,CA,BORREGAS COURT,SUNNYVALE,28.5,21.5,0,0,0,-4,-4,28.5
148,CA,COIT APARTMENTS,OAKLAND,10.6,33.7,-4,0,0,-4,-4,41.3
149,CA,OAK HILLS 80 OAK HILLS APARTMENTS LP,JAMESTOWN,-4,0,0,0,0,0,-4,65.4
150,CA,COLLEGE PARK APARTMENTS,DINUBA,20.4,11.5,0,0,0,9.7,47.8,10.6
152,CA,DE LA VINA FRAIL SENIORS REAPP 97 233,SANTA BARBARA,66,-4,0,0,0,0,17.5,-4
153,CA,SUNDALE ARMS,FREMONT,10,-4,0,0,0,-4,43.1,44.6
154,CA,MARIPOSA APARTMENTS,MARIPOSA,25.2,-4,-4,0,0,6.3,35.4,29.6
155,CA,ARCHWAY COMMONS,MODESTO,15.7,-4,0,0,0,-4,30,40
156,CA,VALLEY COMMONS EAST,GRASS VALLEY,89.3,0,-4,0,0,-4,-4,-4
157,CA,MORGAN HILL RETIREMENT RESIDENCE,MORGAN HILL,45.9,-4,0,0,0,-4,15.6,22.2
158,CA,VERSA AT CIVITA,SAN DIEGO,41.4,10.3,-4,0,0,-4,23.4,16.6
159,CA,HALF MOON VILLAGE PHASE II,HALF MOON BAY,25.2,-4,0,0,0,-4,-4,64.9
160,CA,ALPHA SQUARE 9,SAN DIEGO,55.8,19,-4,0,0,-4,12.2,-4
161,CA,MIRAGE TOWN HOMES,LOS ANGELES,-4,-4,0,0,0,0,-4,-4
162,CA,CALDEN COURT APARTMENTS,SOUTH GATE,-4,-4,0,0,0,0,16.9,77.5
163,CA,HUNTERS VIEW PHASE II A,SAN FRANCISCO,-4,49.1,-4,0,0,-4,13.2,32.1
164,FL,BROOK HAVEN,BROOKSVILLE,0,0,0,0,0,0,0,100
165,FL,MAGNOLIA GARDENS,BROOKSVILLE,0,0,0,0,0,0,0,100
166,FL,STEVENS DUVAL,JACKSONVILLE,0,0,0,0,0,0,0,100
167,FL,OAKS AT POMPANO,POMPANO BEACH,0,0,0,0,0,0,0,100
168,FL,DIXIE COURT III,FT LAUDERDALE,0,0,0,0,0,0,0,100
169,FL,PINNACLE AT HAMMOCK SQUARE,LYNN HAVEN,0,0,0,0,0,0,0,100
170,FL,VISTA GRANDE,MIAMI,0,0,0,0,0,0,0,100
171,FL,VILLAS AT LAKE SMART,WINTER HAVEN,0,0,0,0,0,0,0,100
172,FL,WATERFORD EAST,ORLANDO,0,0,0,0,0,0,0,100
173,FL,SORRENTO AT MIRAMAR,MIRAMAR,0,0,0,0,0,0,0,100
174,FL,PARK VILLAS,TITUSVILLE,0,0,0,0,0,0,0,100
175,FL,HIBISCUS POINTE,MIAMI,0,0,0,0,0,0,0,100
176,FL,BANYAN COURT,LAKE WORTH,0,0,0,0,0,0,0,100
177,FL,CLIPPER COVE - TAMPA,TAMPA,0,0,0,0,0,0,0,100
178,FL,SEVEN PALMS,PUNTA GORDA,0,0,0,0,0,0,0,100
179,FL,COLONY PARK,WEST PALM BEACH,0,0,0,0,0,0,0,100
180,FL,TAYLOR POINTE II,VERO BEACH,0,0,0,0,0,0,0,100
181,FL,BELMONT HEIGHTS ESTATES II,TAMPA,0,0,0,0,0,0,0,100
182,FL,GROVES AT VICTORIA PARK,SEBRING,0,0,0,0,0,0,0,100
183,FL,OSPREY RIDGE,CLERMONT,0,0,0,0,0,0,0,100
184,FL,BROOKSIDE,NEWBERRY,0,0,0,0,0,0,0,100
185,FL,SUNSET POINTE,MIAMI,0,0,0,0,0,0,0,100
186,FL,PARK PLACE II - LEHIGH ACRES,LEHIGH ACRES,0,0,0,0,0,0,0,100
187,FL,LAKEWOOD VILLAS OF LADY LAKE,LADY LAKE,0,0,0,0,0,0,0,100
188,GA,CHEROKEE MILL LOFTS,CALHOUN,79.7,-4,0,-4,0,-4,-4,0
189,GA,THE LEGACY AT WALTON MILL FKA POPLAR POINTE,HIRAM,-4,-4,0,0,0,0,0,69.8
190,GA,ASHTON VILLAGE APARTMENTS,WAYNESBORO,-4,75,0,0,0,0,-4,0
191,GA,ROLLING BENDS I FKA ETHERIDGE COURT REDEV I,ATLANTA,0,71.9,0,0,0,0,0,28.1
192,GA,COLUMBIA MECHANICSVILLE PHASE 4,ATLANTA,-4,83,0,0,0,0,0,-4
